label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,16681.0,16681.0
664134262_bank,53.36417,-6.48574,0.0,16616.0,16616.0
269516693_bank,53.35641,-6.45094,0.0,14506.0,14506.0
506821883_bank,53.35699,-6.45033,0.0,14494.0,14494.0
506820008_bank,53.35732,-6.45005,0.0,14470.0,14470.0
836241894_bank,53.35904,-6.44599,0.0,14164.0,14164.0
1421925391_bank,53.35348,-6.39078,0.0,11265.0,11265.0
640777155_bank,53.40558,-6.37846,0.0,13311.0,13311.0
142681157_bank,53.38586,-6.37425,0.0,10942.0,10940.0
325750297_bank,53.35565,-6.36908,0.0,9960.0,9960.0
848714318_bank,53.35134,-6.36786,0.0,9538.0,9538.0
292365438_bank,53.28717,-6.36251,0.0,9235.0,9235.0
292365522_bank,53.2872,-6.36183,0.0,9196.0,9196.0
292369382_bank,53.28806,-6.35729,0.0,8890.0,8890.0
1121462423_bank,53.34258,-6.35379,0.0,8432.0,8432.0
458220912_bank,53.28167,-6.34014,0.0,8333.0,8333.0
702781376_bank,53.3164,-6.31716,0.0,6304.0,6304.0
882292484_bank,53.32769,-6.30754,0.0,5577.0,5575.0
282964752_bank,53.29873,-6.30271,0.0,5887.0,5889.0
1425374411_bank,53.29635,-6.29748,0.0,5699.0,5699.0
1425374419_bank,53.29696,-6.29713,0.0,5642.0,5642.0
1425374423_bank,53.2983,-6.28611,0.0,5108.0,5108.0
1425374408_bank,53.2998,-6.2848,0.0,4971.0,4971.0
1425374425_bank,53.29998,-6.28404,0.0,4923.0,4923.0
1430846964_bank,53.30965,-6.28386,0.0,4537.0,4537.0
1020103388_bank,53.36128,-6.28355,0.0,6358.0,6358.0
632707895_bank,53.34655,-6.27925,0.0,4862.0,4864.0
632644411_bank,53.34643,-6.27814,0.0,4800.0,4800.0
849784690_bank,53.33232,-6.27428,0.0,3855.0,3857.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,-1.0,-1.0
262397827_bank,53.36083,-6.27172,0.0,5423.0,5423.0
442397196_bank,53.34853,-6.26905,0.0,4403.0,4403.0
739766942_bank,53.33617,-6.26556,0.0,3661.0,3659.0
715732955_bank,53.3226,-6.26548,0.0,3237.0,3237.0
739756788_bank,53.33564,-6.26546,0.0,3613.0,3613.0
778699202_bank,53.33238,-6.26493,0.0,3389.0,3389.0
467744836_bank,53.3523,-6.26175,0.0,4215.0,4215.0
467744900_bank,53.3599,-6.26142,0.0,4835.0,4835.0
445431810_bank,53.34109,-6.26075,0.0,4011.0,4011.0
1348371072_bank,53.3439,-6.26065,0.0,4052.0,4052.0
560989708_bank,53.3432,-6.25961,0.0,4178.0,4178.0
1123319211_bank,53.34852,-6.25936,0.0,3871.0,3871.0
279912238_bank,53.34798,-6.25913,0.0,3823.0,3823.0
1348370985_bank,53.34772,-6.259,0.0,3801.0,3801.0
441995191_bank,53.36325,-6.25782,0.0,5279.0,5279.0
641232440_bank,53.36694,-6.25562,0.0,5576.0,5576.0
564076260_bank,53.32519,-6.25544,0.0,2690.0,2692.0
642990281_bank,53.36767,-6.25527,0.0,-1.0,-1.0
291601540_bank,53.33839,-6.25515,0.0,4113.0,4113.0
650378458_bank,53.32552,-6.25489,0.0,2660.0,2660.0
612418021_bank,53.3473,-6.25341,0.0,3556.0,3556.0
646866967_bank,53.32438,-6.25236,0.0,2493.0,2493.0
291633761_bank,53.33744,-6.25138,0.0,2670.0,2670.0
298515362_bank,53.34977,-6.25019,0.0,3671.0,3671.0
558678481_bank,53.34427,-6.2494,0.0,3137.0,3137.0
565601399_bank,53.33631,-6.2477,0.0,2471.0,2471.0
1463130383_bank,53.38083,-6.24576,0.0,7531.0,7531.0
298526605_bank,53.39528,-6.24564,0.0,8369.0,8369.0
1336631745_bank,53.34822,-6.2456,0.0,3543.0,3543.0
1318857761_bank,53.30331,-6.24548,0.0,2999.0,2999.0
921832745_bank,53.46063,-6.24525,0.0,15235.0,15233.0
679924376_bank,53.34907,-6.24392,0.0,3725.0,3725.0
927235328_bank,53.45301,-6.2432,0.0,14195.0,14195.0
664821063_bank,53.32505,-6.24154,0.0,2385.0,2383.0
1496779540_bank,53.38174,-6.24144,0.0,6934.0,6934.0
1508853548_bank,53.36267,-6.2393,0.0,5098.0,5098.0
441994992_bank,53.36057,-6.23919,0.0,4784.0,4784.0
278007633_bank,53.43143,-6.22933,0.0,11831.0,11831.0
923913615_bank,53.45693,-6.22143,0.0,13982.0,13982.0
922022539_bank,53.45813,-6.22078,0.0,14089.0,14089.0
923907715_bank,53.45826,-6.22073,0.0,14097.0,14097.0
912784526_bank,53.45842,-6.2203,0.0,14112.0,14112.0
913431549_bank,53.46081,-6.21895,0.0,14339.0,14339.0
1500542352_bank,53.2781,-6.2173,0.0,4613.0,4613.0
1500542383_bank,53.27801,-6.21615,0.0,4623.0,4623.0
654042898_bank,53.33257,-6.21553,0.0,1685.0,1685.0
340118552_bank,53.30879,-6.21503,0.0,1755.0,1757.0
698677330_bank,53.31751,-6.20826,0.0,164.0,164.0
567038327_bank,53.27732,-6.20656,0.0,4562.0,4562.0
1241999449_bank,53.30216,-6.17914,0.0,2269.0,2269.0
662938379_bank,53.30176,-6.17782,0.0,2306.0,2306.0
662938724_bank,53.30119,-6.17733,0.0,2371.0,2371.0
662938676_bank,53.30127,-6.1771,0.0,2379.0,2379.0
1456300012_bank,53.38046,-6.17247,0.0,8675.0,8677.0
944053489_bank,53.45073,-6.15415,0.0,14401.0,14401.0
944053480_bank,53.45054,-6.15377,0.0,14409.0,14409.0
944053455_bank,53.45088,-6.15343,0.0,14440.0,14440.0
944053511_bank,53.45065,-6.15286,0.0,14437.0,14437.0
606977264_bank,53.2921,-6.13587,0.0,5765.0,5765.0
594872860_bank,53.29226,-6.13574,0.0,5768.0,5766.0
593844433_bank,53.29186,-6.13484,0.0,5821.0,5823.0
431153394_bank,53.2916,-6.13417,0.0,5864.0,5864.0
370330157_bank,53.38975,-6.11032,0.0,-1.0,-1.0
370330071_bank,53.38973,-6.10998,0.0,-1.0,-1.0
751682809_convenience_shop,53.30014,-6.50363,0.0,16788.0,16788.0
