label,lat,lon,input,to,from
640763861_bank,53.36448,-6.48793,0.0,17679.0,17679.0
664134262_bank,53.36417,-6.48574,0.0,17559.0,17559.0
269516693_bank,53.35641,-6.45094,0.0,15700.0,15700.0
506821883_bank,53.35699,-6.45033,0.0,15628.0,15628.0
506820008_bank,53.35732,-6.45005,0.0,15604.0,15604.0
836241894_bank,53.35904,-6.44599,0.0,15298.0,15298.0
1421925391_bank,53.35348,-6.39078,0.0,12459.0,12459.0
640777155_bank,53.40558,-6.37846,0.0,11509.0,11509.0
142681157_bank,53.38586,-6.37425,0.0,10640.0,10638.0
325750297_bank,53.35565,-6.36908,0.0,10886.0,10886.0
848714318_bank,53.35134,-6.36786,0.0,10464.0,10464.0
292365438_bank,53.28717,-6.36251,0.0,12786.0,12786.0
292365522_bank,53.2872,-6.36183,0.0,12747.0,12747.0
292369382_bank,53.28806,-6.35729,0.0,12518.0,12518.0
1121462423_bank,53.34258,-6.35379,0.0,9767.0,9767.0
458220912_bank,53.28167,-6.34014,0.0,12431.0,12431.0
702781376_bank,53.3164,-6.31716,0.0,9226.0,9226.0
882292484_bank,53.32769,-6.30754,0.0,8012.0,8010.0
282964752_bank,53.29873,-6.30271,0.0,9878.0,9880.0
1425374411_bank,53.29635,-6.29748,0.0,10129.0,10129.0
1425374419_bank,53.29696,-6.29713,0.0,10072.0,10072.0
1425374423_bank,53.2983,-6.28611,0.0,9538.0,9538.0
1425374408_bank,53.2998,-6.2848,0.0,9401.0,9401.0
1425374425_bank,53.29998,-6.28404,0.0,9353.0,9353.0
1430846964_bank,53.30965,-6.28386,0.0,8528.0,8528.0
1020103388_bank,53.36128,-6.28355,0.0,5836.0,5836.0
632707895_bank,53.34655,-6.27925,0.0,5632.0,5634.0
632644411_bank,53.34643,-6.27814,0.0,5589.0,5589.0
849784690_bank,53.33232,-6.27428,0.0,6555.0,6555.0
972063358_bank,53.36108,-6.27293,0.0,-1.0,-1.0
972063361_bank,53.36125,-6.27292,0.0,-1.0,-1.0
970300216_bank,53.36116,-6.27249,0.0,-1.0,-1.0
262397827_bank,53.36083,-6.27172,0.0,5132.0,5132.0
442397196_bank,53.34853,-6.26905,0.0,5007.0,5007.0
739766942_bank,53.33617,-6.26556,0.0,5910.0,5910.0
715732955_bank,53.3226,-6.26548,0.0,7093.0,7094.0
739756788_bank,53.33564,-6.26546,0.0,5954.0,5956.0
778699202_bank,53.33238,-6.26493,0.0,6233.0,6233.0
467744836_bank,53.3523,-6.26175,0.0,4495.0,4495.0
467744900_bank,53.3599,-6.26142,0.0,4409.0,4409.0
445431810_bank,53.34109,-6.26075,0.0,5482.0,5482.0
1348371072_bank,53.3439,-6.26065,0.0,5253.0,5253.0
560989708_bank,53.3432,-6.25961,0.0,5421.0,5421.0
1123319211_bank,53.34852,-6.25936,0.0,4606.0,4606.0
279912238_bank,53.34798,-6.25913,0.0,4653.0,4653.0
1348370985_bank,53.34772,-6.259,0.0,4669.0,4669.0
441995191_bank,53.36325,-6.25782,0.0,4019.0,4019.0
641232440_bank,53.36694,-6.25562,0.0,4308.0,4308.0
564076260_bank,53.32519,-6.25544,0.0,7029.0,7031.0
642990281_bank,53.36767,-6.25527,0.0,-1.0,-1.0
291601540_bank,53.33839,-6.25515,0.0,5947.0,5947.0
650378458_bank,53.32552,-6.25489,0.0,6979.0,6979.0
612418021_bank,53.3473,-6.25341,0.0,4460.0,4460.0
646866967_bank,53.32438,-6.25236,0.0,7042.0,7042.0
291633761_bank,53.33744,-6.25138,0.0,5673.0,5673.0
298515362_bank,53.34977,-6.25019,0.0,4180.0,4180.0
558678481_bank,53.34427,-6.2494,0.0,4764.0,4764.0
565601399_bank,53.33631,-6.2477,0.0,5625.0,5625.0
1463130383_bank,53.38083,-6.24576,0.0,3767.0,3767.0
298526605_bank,53.39528,-6.24564,0.0,4528.0,4528.0
1336631745_bank,53.34822,-6.2456,0.0,4402.0,4402.0
1318857761_bank,53.30331,-6.24548,0.0,9119.0,9119.0
921832745_bank,53.46063,-6.24525,0.0,11348.0,11346.0
679924376_bank,53.34907,-6.24392,0.0,4342.0,4342.0
927235328_bank,53.45301,-6.2432,0.0,10353.0,10353.0
664821063_bank,53.32505,-6.24154,0.0,7224.0,7222.0
1496779540_bank,53.38174,-6.24144,0.0,3170.0,3170.0
1508853548_bank,53.36267,-6.2393,0.0,3001.0,3001.0
441994992_bank,53.36057,-6.23919,0.0,3053.0,3053.0
278007633_bank,53.43143,-6.22933,0.0,7989.0,7989.0
923913615_bank,53.45693,-6.22143,0.0,9946.0,9946.0
922022539_bank,53.45813,-6.22078,0.0,10053.0,10053.0
923907715_bank,53.45826,-6.22073,0.0,10061.0,10061.0
912784526_bank,53.45842,-6.2203,0.0,10076.0,10076.0
913431549_bank,53.46081,-6.21895,0.0,10303.0,10303.0
1500542352_bank,53.2781,-6.2173,0.0,11578.0,11579.0
1500542383_bank,53.27801,-6.21615,0.0,11627.0,11628.0
654042898_bank,53.33257,-6.21553,0.0,6935.0,6936.0
340118552_bank,53.30879,-6.21503,0.0,9586.0,9588.0
698677330_bank,53.31751,-6.20826,0.0,7995.0,7995.0
567038327_bank,53.27732,-6.20656,0.0,11985.0,11986.0
1241999449_bank,53.30216,-6.17914,0.0,10100.0,10100.0
662938379_bank,53.30176,-6.17782,0.0,10137.0,10137.0
662938724_bank,53.30119,-6.17733,0.0,10202.0,10202.0
662938676_bank,53.30127,-6.1771,0.0,10210.0,10210.0
1456300012_bank,53.38046,-6.17247,0.0,2221.0,2223.0
944053489_bank,53.45073,-6.15415,0.0,8708.0,8708.0
944053480_bank,53.45054,-6.15377,0.0,8668.0,8668.0
944053455_bank,53.45088,-6.15343,0.0,8693.0,8693.0
944053511_bank,53.45065,-6.15286,0.0,8696.0,8696.0
606977264_bank,53.2921,-6.13587,0.0,13596.0,13596.0
594872860_bank,53.29226,-6.13574,0.0,13599.0,13597.0
593844433_bank,53.29186,-6.13484,0.0,13652.0,13654.0
431153394_bank,53.2916,-6.13417,0.0,13695.0,13695.0
370330157_bank,53.38975,-6.11032,0.0,-1.0,-1.0
370330071_bank,53.38973,-6.10998,0.0,-1.0,-1.0
751682809_convenience_shop,53.30014,-6.50363,0.0,18966.0,18966.0
751682817_convenience_shop,53.29599,-6.49232,0.0,18692.0,18692.0
640767598_convenience_shop,53.36422,-6.48844,0.0,17707.0,17707.0
664126419_convenience_shop,53.3649,-6.48844,0.0,17690.0,17690.0
